t-SNE Dimension 1,t-SNE Dimension 2
40.692486,-28.44106
49.387436,-18.872318
54.628807,-26.233906
51.66911,-25.534744
41.84833,-40.535522
46.874405,-33.275185
40.71302,-28.380207
44.6052,-31.91794
32.180534,-21.784563
51.164597,-29.651518
33.208176,-31.03018
51.45786,-29.274376
47.151382,-33.59902
43.842342,-32.52347
39.271133,-26.947582
54.438618,-39.531204
50.25956,-18.86821
47.886578,-18.930748
54.58608,-39.975468
37.104893,-25.481464
47.906902,-25.021456
32.76794,-27.521528
46.218384,-43.040127
26.407417,-32.31593
33.680466,-26.973532
46.419277,-42.478428
52.02601,-28.979427
29.28612,-61.48166
37.59359,-59.803135
25.208315,-55.734703
37.304417,-59.61787
32.80619,-57.9413
36.79892,-61.99014
25.299393,-55.80772
22.282608,-54.833317
43.827747,-64.88871
9.103105,-60.952724
17.389875,-50.588593
32.363888,-58.61684
9.390029,-62.335117
16.884235,-59.55471
9.99368,-64.60688
23.07907,-61.882233
34.34843,-58.002087
27.25949,-57.84307
8.27711,-60.898693
29.36169,-61.21466
42.22388,-63.939335
27.631866,-58.364746
14.687628,-56.158382
18.315079,-63.92649
26.625591,-57.01846
20.39866,-63.15459
34.751728,-65.28727
26.261786,-55.563774
23.052605,-61.838707
28.87843,-61.72425
19.020817,-50.513992
40.118496,-68.31778
16.215921,-53.11501
46.916492,-63.57172
36.81405,-61.265293
39.348915,-70.1901
39.799225,-68.72186
10.094867,-59.740906
19.795929,-53.20534
36.554028,-59.27715
34.61526,-65.34305
33.489098,-65.51309
35.037956,-66.69954
40.542084,-71.39023
12.952979,-56.850643
46.406734,-64.50059
16.416098,-53.02185
20.646046,-55.893658
35.102406,-66.790634
40.5285,-71.40102
19.635883,-53.640423
38.600742,-70.48481
20.695772,-55.33318
12.0246725,-57.564495
35.831482,-59.141293
9.385374,-62.2267
46.987743,-63.892735
39.53249,-70.416985
20.874014,-62.909645
19.629972,-50.082073
22.260775,-60.396557
16.51435,-58.47187
36.921726,-62.46325
39.883842,-68.65335
10.157121,-65.76472
21.334864,-62.521637
20.46545,-55.698772
45.40223,-62.047977
17.295536,-51.424133
46.332096,-61.635345
12.047202,-57.492435
21.986988,-54.468266
17.989536,-50.654484
9.184313,-59.58295
9.4336,-62.501484
43.83955,-64.15937
9.967835,-64.37217
21.48047,-57.07199
28.694553,-59.112843
17.003181,-52.737316
18.628742,-63.977646
46.055485,-61.67587
43.799038,-62.80322
15.753283,-58.037468
33.161892,-57.6116
26.130245,-55.48172
43.57575,-63.74981
9.42524,-60.41274
19.498053,-50.14239
18.119886,-63.880093
28.804373,-58.97387
31.669838,-58.597485
34.10219,-57.990562
16.979145,-59.80544
45.58675,-63.427013
37.962044,-70.82818
44.342293,-63.56156
10.124337,-65.62932
13.50433,-56.657314
14.447207,-56.62555
-8.1664915,-35.506695
17.367186,-24.740274
8.274709,-38.745697
0.35720068,-25.401543
8.015226,-37.765007
2.0718088,-39.212257
6.0167437,-18.527939
9.20387,-24.017994
13.568731,-25.414923
-8.923741,-36.481476
-1.6973395,-23.759182
-1.0663867,-36.369728
-1.2135435,-37.518265
